"","Step","intracls_average.c1","intracls_average.c2","intracls_centroid.c1","intracls_centroid.c2","intercls_centroid.c1","intercls_centroid.c2","cluster_size","cluster_center.1","cluster_center.2"
"c1",0,"0.000","0.000","0.000000000000000000","0.000000000000000314","0.000","1.414","20","0.000","0.000"
"c2",0,"0.000","0.000","0.000000000000000000","0.000000000000000314","1.414","0.000","20","1.000","1.000"
"c11",1,"0.0000","0.0635","0.000000000000000314","0.060295900780190287","0.000","1.386","20","1.00000","1.00000"
"c21",1,"0.0000","0.0635","0.000000000000000314","0.060295900780190287","1.386","0.000","20","0.03012","0.00998"
"c12",2,"0.0668","0.0424","0.0633","0.0404","0.000","1.367","19","0.0317","0.0105"
"c22",2,"0.0668","0.0424","0.0633","0.0404","1.367","0.000","21","0.9791","0.9963"
"c13",3,"0.0928","0.0424","0.0858","0.0404","0.000","1.356","19","0.0462","0.0122"
"c23",3,"0.0928","0.0424","0.0858","0.0404","1.356","0.000","21","0.9791","0.9963"
"c14",4,"0.1321","0.0424","0.1190","0.0404","0.000","1.333","19","0.0632","0.0281"
"c24",4,"0.1321","0.0424","0.1190","0.0404","1.333","0.000","21","0.9791","0.9963"
"c15",5,"0.179","0.000","0.159018394204454849","0.000000000000000314","0.000","1.330","20","0.0925","0.0277"
"c25",5,"0.179","0.000","0.159018394204454849","0.000000000000000314","1.330","0.000","20","1.0000","1.0000"
"c16",6,"0.000","0.207","0.000000000000000314","0.182381568752521428","0.000","1.310","20","1.0000","1.0000"
"c26",6,"0.000","0.207","0.000000000000000314","0.182381568752521428","1.310","0.000","20","0.1122","0.0372"
"c17",7,"0.1849","0.0269","0.1657","0.0256","0.000","1.314","19","0.1011","0.0233"
"c27",7,"0.1849","0.0269","0.1657","0.0256","1.314","0.000","21","0.9906","0.9903"
"c18",8,"0.1936","0.0636","0.1723","0.0583","0.000","1.295","18","0.1067","0.0245"
"c28",8,"0.1936","0.0636","0.1723","0.0583","1.295","0.000","22","0.9713","0.9883"
"c19",9,"0.107","0.168","0.0982","0.1510","0.000","1.294","23","0.9473","0.9841"
"c29",9,"0.107","0.168","0.0982","0.1510","1.294","0.000","17","0.0899","0.0149"
"c110",10,"0.217","0.107","0.1936","0.0982","0.000","1.265","17","0.123","0.024"
"c210",10,"0.217","0.107","0.1936","0.0982","1.265","0.000","23","0.947","0.984"
"c111",11,"0.2660","0.0773","0.2357","0.0711","0.000","1.249","18","0.1593","0.0313"
"c211",11,"0.2660","0.0773","0.2357","0.0711","1.249","0.000","22","0.9646","0.9859"
"c112",12,"0.2865","0.0773","0.2469","0.0711","0.000","1.229","18","0.1785","0.0411"
"c212",12,"0.2865","0.0773","0.2469","0.0711","1.229","0.000","22","0.9646","0.9859"
"c113",13,"0.0773","0.3144","0.0711","0.2680","0.000","1.224","22","0.9646","0.9859"
"c213",13,"0.0773","0.3144","0.0711","0.2680","1.224","0.000","18","0.1953","0.0344"
"c114",14,"0.0773","0.3779","0.0711","0.3035","0.000","1.183","22","0.9646","0.9859"
"c214",14,"0.0773","0.3779","0.0711","0.3035","1.183","0.000","18","0.2083","0.0765"
"c115",15,"0.3871","0.0773","0.3117","0.0711","0.000","1.176","18","0.2052","0.0874"
"c215",15,"0.3871","0.0773","0.3117","0.0711","1.176","0.000","22","0.9646","0.9859"
"c116",16,"0.0773","0.4218","0.0711","0.3366","0.000","1.139","22","0.965","0.986"
"c216",16,"0.0773","0.4218","0.0711","0.3366","1.139","0.000","18","0.240","0.107"
"c117",17,"0.0773","0.3818","0.0711","0.3109","0.000","1.158","22","0.9646","0.9859"
"c217",17,"0.0773","0.3818","0.0711","0.3109","1.158","0.000","18","0.2537","0.0713"
"c118",18,"0.0773","0.4053","0.0711","0.3271","0.000","1.127","22","0.9646","0.9859"
"c218",18,"0.0773","0.4053","0.0711","0.3271","1.127","0.000","18","0.2934","0.0805"
"c119",19,"0.0773","0.4137","0.0711","0.3266","0.000","1.139","22","0.9646","0.9859"
"c219",19,"0.0773","0.4137","0.0711","0.3266","1.139","0.000","18","0.2607","0.0904"
"c120",20,"0.4508","0.0773","0.3516","0.0711","0.000","1.104","18","0.3114","0.0956"
"c220",20,"0.4508","0.0773","0.3516","0.0711","1.104","0.000","22","0.9646","0.9859"
"c121",21,"0.4334","0.0773","0.3256","0.0711","0.000","1.121","18","0.2881","0.0917"
"c221",21,"0.4334","0.0773","0.3256","0.0711","1.121","0.000","22","0.9646","0.9859"
"c122",22,"0.4438","0.0864","0.3292","0.0779","0.000","1.103","17","0.305","0.097"
"c222",22,"0.4438","0.0864","0.3292","0.0779","1.103","0.000","23","0.959","0.985"
"c123",23,"0.0864","0.4036","0.0779","0.3024","0.000","1.137","23","0.9589","0.9853"
"c223",23,"0.0864","0.4036","0.0779","0.3024","1.137","0.000","17","0.2522","0.0945"
"c124",24,"0.415","0.127","0.306","0.114","0.000","1.108","16","0.268","0.100"
"c224",24,"0.415","0.127","0.306","0.114","1.108","0.000","24","0.935","0.984"
"c125",25,"0.121","0.426","0.111","0.316","0.000","1.095","23","0.9398","0.9850"
"c225",25,"0.121","0.426","0.111","0.316","1.095","0.000","17","0.2954","0.0991"
