"","Step","DB_Index_Avg","DB_Index_Centroid","Norm_DB_Index_Avg","Norm_DB_Index_Centroid"
"1",0,0,2.22e-16,1,1
"2",1,0.0482,0.0458,0.954,0.956
"3",2,0.0932,0.0841,0.915,0.922
"4",3,0.145,0.128,0.873,0.887
"5",4,0.188,0.164,0.842,0.859
"6",5,0.258,0.229,0.795,0.814
"7",6,0.326,0.286,0.754,0.778
"8",7,0.369,0.321,0.73,0.757
"9",8,0.443,0.382,0.693,0.724
"10",9,0.503,0.43,0.665,0.699
"11",10,0.568,0.481,0.638,0.675
"12",11,0.627,0.523,0.615,0.657
"13",12,0.687,0.569,0.593,0.637
"14",13,0.768,0.63,0.566,0.613
"15",14,0.838,0.681,0.544,0.595
"16",15,0.553,0.426,0.644,0.701
"17",16,0.964,0.77,0.509,0.565
"18",17,0.599,0.455,0.625,0.687
"19",18,0.607,0.458,0.622,0.686
"20",19,0.632,0.472,0.613,0.679
"21",20,0.67,0.499,0.599,0.667
"22",21,0.68,0.505,0.595,0.664
"23",22,0.707,0.519,0.586,0.658
"24",23,1.547,1.169,0.393,0.461
"25",24,0.729,0.528,0.578,0.654
"26",25,0.72,0.518,0.581,0.659
"27",26,0.751,0.538,0.571,0.65
"28",27,0.736,0.524,0.576,0.656
"29",28,0.77,0.547,0.565,0.646
"30",29,0.752,0.531,0.571,0.653
"31",30,0.755,0.533,0.57,0.652
"32",31,0.771,0.541,0.565,0.649
"33",32,0.786,0.551,0.56,0.645
"34",33,0.775,0.542,0.563,0.649
"35",34,0.799,0.558,0.556,0.642
"36",35,3.61,2.508,0.217,0.285
"37",36,3.903,2.695,0.204,0.271
"38",37,0.788,0.55,0.559,0.645
"39",38,4.429,3.045,0.184,0.247
"40",39,4.675,3.207,0.176,0.238
"41",40,4.469,3.088,0.183,0.245
