"","Step","X1","X2","X3"
"1",0,0,0,0
"2",0,0,0,0
"3",0,0,0,0
"4",0,0,0,0
"5",0,0,0,0
"6",0,1,1,1
"7",0,1,1,1
"8",0,1,1,1
"9",0,1,1,1
"10",0,1,1,1
"11",1,0.26625886070542,0.955802450655028,0.255728591931984
"12",1,0,0,0
"13",1,0,0,0
"14",1,0,0,0
"15",1,0,0,0
"16",1,1,1,1
"17",1,1,1,1
"18",1,1,1,1
"19",1,1,1,1
"20",1,1,1,1
"21",2,0.26625886070542,0.955802450655028,0.255728591931984
"22",2,0,0,0
"23",2,0,0,0
"24",2,0,0,0
"25",2,0,0,0
"26",2,0.451978977769613,0.814866929547861,0.116486516781151
"27",2,1,1,1
"28",2,1,1,1
"29",2,1,1,1
"30",2,1,1,1
"31",3,0.26625886070542,0.955802450655028,0.255728591931984
"32",3,0.613456826191396,0.156904154224321,0.304561341879889
"33",3,0,0,0
"34",3,0,0,0
"35",3,0,0,0
"36",3,0.451978977769613,0.814866929547861,0.116486516781151
"37",3,1,1,1
"38",3,1,1,1
"39",3,1,1,1
"40",3,1,1,1
"41",4,0.26625886070542,0.955802450655028,0.255728591931984
"42",4,0.613456826191396,0.156904154224321,0.304561341879889
"43",4,0,0,0
"44",4,0,0,0
"45",4,0,0,0
"46",4,0.451978977769613,0.814866929547861,0.116486516781151
"47",4,0.787536971038207,0.967285032616928,0.0886665086727589
"48",4,1,1,1
"49",4,1,1,1
"50",4,1,1,1
"51",5,0.26625886070542,0.955802450655028,0.255728591931984
"52",5,0.613456826191396,0.156904154224321,0.304561341879889
"53",5,0.235240350943059,0.275669748196378,0.257580117322505
"54",5,0,0,0
"55",5,0,0,0
"56",5,0.451978977769613,0.814866929547861,0.116486516781151
"57",5,0.787536971038207,0.967285032616928,0.0886665086727589
"58",5,1,1,1
"59",5,1,1,1
"60",5,1,1,1
"61",6,0.26625886070542,0.955802450655028,0.255728591931984
"62",6,0.613456826191396,0.156904154224321,0.304561341879889
"63",6,0.235240350943059,0.275669748196378,0.257580117322505
"64",6,0,0,0
"65",6,0,0,0
"66",6,0.451978977769613,0.814866929547861,0.116486516781151
"67",6,0.787536971038207,0.967285032616928,0.0886665086727589
"68",6,0.460744204232469,0.22190104634501,0.0662354694213718
"69",6,1,1,1
"70",6,1,1,1
"71",7,0.26625886070542,0.955802450655028,0.255728591931984
"72",7,0.613456826191396,0.156904154224321,0.304561341879889
"73",7,0.235240350943059,0.275669748196378,0.257580117322505
"74",7,0.245680961757898,0.860942719038576,0.44850590149872
"75",7,0,0,0
"76",7,0.451978977769613,0.814866929547861,0.116486516781151
"77",7,0.787536971038207,0.967285032616928,0.0886665086727589
"78",7,0.460744204232469,0.22190104634501,0.0662354694213718
"79",7,1,1,1
"80",7,1,1,1
"81",8,0.26625886070542,0.955802450655028,0.255728591931984
"82",8,0.613456826191396,0.156904154224321,0.304561341879889
"83",8,0.235240350943059,0.275669748196378,0.257580117322505
"84",8,0.245680961757898,0.860942719038576,0.44850590149872
"85",8,0,0,0
"86",8,0.451978977769613,0.814866929547861,0.116486516781151
"87",8,0.787536971038207,0.967285032616928,0.0886665086727589
"88",8,0.460744204232469,0.22190104634501,0.0662354694213718
"89",8,0.781882954062894,0.395391164347529,0.226500156568363
"90",8,1,1,1
"91",9,0.26625886070542,0.955802450655028,0.255728591931984
"92",9,0.613456826191396,0.156904154224321,0.304561341879889
"93",9,0.235240350943059,0.275669748196378,0.257580117322505
"94",9,0.245680961757898,0.860942719038576,0.44850590149872
"95",9,0.392121644923463,0.056920739589259,0.573011505883187
"96",9,0.451978977769613,0.814866929547861,0.116486516781151
"97",9,0.787536971038207,0.967285032616928,0.0886665086727589
"98",9,0.460744204232469,0.22190104634501,0.0662354694213718
"99",9,0.781882954062894,0.395391164347529,0.226500156568363
"100",9,1,1,1
"101",10,0.26625886070542,0.955802450655028,0.255728591931984
"102",10,0.613456826191396,0.156904154224321,0.304561341879889
"103",10,0.235240350943059,0.275669748196378,0.257580117322505
"104",10,0.245680961757898,0.860942719038576,0.44850590149872
"105",10,0.392121644923463,0.056920739589259,0.573011505883187
"106",10,0.451978977769613,0.814866929547861,0.116486516781151
"107",10,0.787536971038207,0.967285032616928,0.0886665086727589
"108",10,0.460744204232469,0.22190104634501,0.0662354694213718
"109",10,0.781882954062894,0.395391164347529,0.226500156568363
"110",10,0.777331703342497,0.627777355257422,0.0264718099497259
