"","Step","X1","X2"
"1",0,0,0
"2",0,0,0
"3",0,0,0
"4",0,0,0
"5",0,0,0
"6",0,0,0
"7",0,0,0
"8",0,0,0
"9",0,0,0
"10",0,0,0
"11",0,0,0
"12",0,0,0
"13",0,0,0
"14",0,0,0
"15",0,0,0
"16",0,0,0
"17",0,0,0
"18",0,0,0
"19",0,0,0
"20",0,0,0
"21",0,1,1
"22",0,1,1
"23",0,1,1
"24",0,1,1
"25",0,1,1
"26",0,1,1
"27",0,1,1
"28",0,1,1
"29",0,1,1
"30",0,1,1
"31",0,1,1
"32",0,1,1
"33",0,1,1
"34",0,1,1
"35",0,1,1
"36",0,1,1
"37",0,1,1
"38",0,1,1
"39",0,1,1
"40",0,1,1
"41",1,0.602467452641577,0.199672360904515
"42",1,0,0
"43",1,0,0
"44",1,0,0
"45",1,0,0
"46",1,0,0
"47",1,0,0
"48",1,0,0
"49",1,0,0
"50",1,0,0
"51",1,0,0
"52",1,0,0
"53",1,0,0
"54",1,0,0
"55",1,0,0
"56",1,0,0
"57",1,0,0
"58",1,0,0
"59",1,0,0
"60",1,0,0
"61",1,1,1
"62",1,1,1
"63",1,1,1
"64",1,1,1
"65",1,1,1
"66",1,1,1
"67",1,1,1
"68",1,1,1
"69",1,1,1
"70",1,1,1
"71",1,1,1
"72",1,1,1
"73",1,1,1
"74",1,1,1
"75",1,1,1
"76",1,1,1
"77",1,1,1
"78",1,1,1
"79",1,1,1
"80",1,1,1
"81",2,0.602467452641577,0.199672360904515
"82",2,0,0
"83",2,0.561790923587978,0.92234026407823
"84",2,0,0
"85",2,0,0
"86",2,0,0
"87",2,0,0
"88",2,0,0
"89",2,0,0
"90",2,0,0
"91",2,0,0
"92",2,0,0
"93",2,0,0
"94",2,0,0
"95",2,0,0
"96",2,0,0
"97",2,0,0
"98",2,0,0
"99",2,0,0
"100",2,0,0
"101",2,1,1
"102",2,1,1
"103",2,1,1
"104",2,1,1
"105",2,1,1
"106",2,1,1
"107",2,1,1
"108",2,1,1
"109",2,1,1
"110",2,1,1
"111",2,1,1
"112",2,1,1
"113",2,1,1
"114",2,1,1
