"","Step","kmeans_result.cluster"
"1",0,2
"2",0,2
"3",0,2
"4",0,2
"5",0,2
"6",0,2
"7",0,2
"8",0,2
"9",0,2
"10",0,2
"11",0,2
"12",0,2
"13",0,2
"14",0,2
"15",0,2
"16",0,2
"17",0,2
"18",0,2
"19",0,2
"20",0,2
"21",0,1
"22",0,1
"23",0,1
"24",0,1
"25",0,1
"26",0,1
"27",0,1
"28",0,1
"29",0,1
"30",0,1
"31",0,1
"32",0,1
"33",0,1
"34",0,1
"35",0,1
"36",0,1
"37",0,1
"38",0,1
"39",0,1
"40",0,1
"41",1,1
"42",1,1
"43",1,1
"44",1,1
"45",1,1
"46",1,1
"47",1,1
"48",1,1
"49",1,1
"50",1,1
"51",1,1
"52",1,1
"53",1,1
"54",1,1
"55",1,1
"56",1,1
"57",1,1
"58",1,1
"59",1,1
"60",1,1
"61",1,2
"62",1,2
"63",1,2
"64",1,2
"65",1,2
"66",1,2
"67",1,2
"68",1,2
"69",1,2
"70",1,2
"71",1,2
"72",1,2
"73",1,2
"74",1,2
"75",1,2
"76",1,2
"77",1,2
"78",1,2
"79",1,2
"80",1,2
"81",2,1
"82",2,1
"83",2,1
"84",2,1
"85",2,1
"86",2,1
"87",2,1
"88",2,1
"89",2,1
"90",2,1
"91",2,1
"92",2,1
"93",2,1
"94",2,1
"95",2,1
"96",2,1
"97",2,1
"98",2,1
"99",2,1
"100",2,1
"101",2,1
"102",2,2
"103",2,2
"104",2,2
"105",2,2
"106",2,2
"107",2,2
"108",2,2
"109",2,2
"110",2,2
"111",2,2
"112",2,2
"113",2,2
"114",2,2
"115",2,2
"116",2,2
"117",2,2
"118",2,2
"119",2,2
"120",2,2
"121",3,1
"122",3,1
"123",3,1
"124",3,1
"125",3,1
"126",3,1
"127",3,1
"128",3,1
"129",3,1
"130",3,1
"131",3,1
"132",3,1
"133",3,1
"134",3,1
"135",3,1
"136",3,1
"137",3,1
"138",3,1
"139",3,1
"140",3,1
"141",3,1
"142",3,2
"143",3,2
"144",3,2
"145",3,2
"146",3,2
"147",3,2
"148",3,2
"149",3,2
"150",3,2
"151",3,2
"152",3,2
"153",3,2
"154",3,2
"155",3,2
"156",3,2
"157",3,2
"158",3,2
"159",3,2
"160",3,2
"161",4,2
"162",4,2
"163",4,2
"164",4,2
"165",4,2
"166",4,2
"167",4,2
"168",4,2
"169",4,2
"170",4,2
"171",4,2
"172",4,2
"173",4,2
"174",4,2
"175",4,2
"176",4,2
"177",4,2
"178",4,2
"179",4,2
"180",4,2
"181",4,2
"182",4,2
"183",4,1
"184",4,1
"185",4,1
"186",4,1
"187",4,1
"188",4,1
"189",4,1
"190",4,1
"191",4,1
"192",4,1
"193",4,1
"194",4,1
"195",4,1
"196",4,1
"197",4,1
"198",4,1
"199",4,1
