"","Step","DB_Index_Avg","DB_Index_Centroid","Norm_DB_Index_Avg","Norm_DB_Index_Centroid"
"1",0,0,1.11e-16,1,1
"2",1,0.0739,0.0672,0.931,0.937
"3",2,0.188,0.169,0.842,0.855
"4",3,0.301,0.258,0.769,0.795
"5",4,0.383,0.324,0.723,0.755
"6",5,0.523,0.429,0.657,0.7
"7",6,0.54,0.443,0.649,0.693
"8",7,0.607,0.49,0.622,0.671
"9",8,0.704,0.554,0.587,0.644
"10",9,1.025,0.784,0.494,0.561
"11",10,1.132,0.853,0.469,0.54
"12",11,0.94,0.699,0.515,0.589
"13",12,1.019,0.75,0.495,0.571
"14",13,0.688,0.488,0.592,0.672
"15",14,1.169,0.834,0.461,0.545
"16",15,1.682,1.175,0.373,0.46
"17",16,2.321,1.581,0.301,0.387
"18",17,2.059,1.393,0.327,0.418
"19",18,2.482,1.633,0.287,0.38
"20",19,2.631,1.733,0.275,0.366
"21",20,2.564,1.695,0.281,0.371
