"","Step","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"27",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"28",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"29",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"31",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"33",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"34",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"35",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"36",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"38",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"40",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"41",1,0.941691876621917,0.451444503152743,0.734102361835539,0.0470226916950196,0.0941409666556865,0.315053497906774,0.0653305943123996,0.242994121043012,0.560755505925044,0.111026314087212,0.955082186032087,0.964120638323948,0.367268937639892,0.984723011264578,0.597625133348629,0.309719731565565,0.605957204243168,0.779608238022774,0.755948291858658,0.458381535718217
"42",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"63",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"65",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"66",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"67",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"68",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"69",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"70",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"71",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"72",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"73",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"74",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"75",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"76",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"77",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
