"","Step","DB_Index_Avg","DB_Index_Centroid","Norm_DB_Index_Avg","Norm_DB_Index_Centroid"
"1",0,0,1.11e-16,1,1
"2",1,0.0324,0.0291,0.969,0.972
"3",2,0.0915,0.0823,0.916,0.924
"4",3,0.17,0.148,0.855,0.871
"5",4,0.221,0.19,0.819,0.84
"6",5,0.295,0.25,0.772,0.8
"7",6,0.389,0.32,0.72,0.758
"8",7,0.465,0.379,0.683,0.725
"9",8,0.544,0.434,0.648,0.697
"10",9,0.554,0.428,0.644,0.7
"11",10,0.682,0.516,0.595,0.66
"12",11,0.764,0.568,0.567,0.638
"13",12,0.82,0.604,0.549,0.623
"14",13,0.875,0.638,0.533,0.611
"15",14,0.92,0.657,0.521,0.604
"16",15,0.942,0.661,0.515,0.602
"17",16,0.99,0.671,0.503,0.598
"18",17,1.017,0.682,0.496,0.595
"19",18,1.133,0.714,0.469,0.583
"20",19,0.989,0.648,0.503,0.607
"21",20,1.219,0.786,0.451,0.56
