"","Step","Cluster_1_Percentage","Cluster_2_Percentage"
"1",0,50,50
"11",1,50,50
"12",2,51,49
"13",3,51,49
"14",4,51,49
"15",5,51,49
"16",6,51,49
"17",7,50,50
"18",8,50,50
"19",9,50,50
"110",10,50,50
"111",11,53,47
"112",12,49,51
"113",13,49,51
"114",14,49,51
"115",15,48,52
"116",16,48,52
"117",17,47,53
"118",18,56,44
"119",19,47,53
"120",20,47,53
"121",21,47,53
"122",22,48,52
"123",23,47,53
"124",24,48,52
"125",25,47,53
"126",26,47,53
"127",27,47,53
"128",28,47,53
"129",29,46,54
"130",30,46,54
"131",31,45,55
"132",32,45,55
"133",33,44,56
"134",34,44,56
"135",35,44,56
"136",36,44,56
"137",37,43,57
"138",38,43,57
"139",39,42,58
"140",40,55,45
"141",41,55,45
"142",42,56,44
"143",43,56,44
"144",44,57,43
"145",45,57,43
"146",46,58,42
"147",47,57,43
"148",48,58,42
"149",49,58,42
"150",50,59,41
"151",51,59,41
"152",52,59,41
"153",53,59,41
"154",54,60,40
"155",55,60,40
"156",56,61,39
"157",57,61,39
"158",58,62,38
"159",59,62,38
"160",60,63,37
"161",61,62,38
"162",62,63,37
"163",63,63,37
"164",64,64,36
"165",65,64,36
"166",66,65,35
"167",67,42,58
"168",68,42,58
"169",69,41,59
"170",70,41,59
"171",71,40,60
"172",72,41,59
"173",73,40,60
"174",74,66,34
"175",75,66,34
"176",76,66,34
"177",77,65,35
"178",78,65,35
"179",79,64,36
"180",80,66,34
"181",81,66,34
"182",82,66,34
"183",83,65,35
"184",84,66,34
"185",85,36,64
"186",86,36,64
"187",87,36,64
"188",88,36,64
"189",89,35,65
"190",90,35,65
"191",91,35,65
"192",92,35,65
"193",93,35,65
"194",94,35,65
"195",95,35,65
"196",96,36,64
"197",97,36,64
"198",98,36,64
"199",99,35,65
"1100",100,36,64
