"","Step","Cluster_1_Percentage","Cluster_2_Percentage"
"1",0,50,50
"11",1,50,50
"12",2,50,50
"13",3,51,49
"14",4,51,49
"15",5,51,49
"16",6,52,48
"17",7,52,48
"18",8,53,47
"19",9,53,47
"110",10,52,48
"111",11,52,48
"112",12,53,47
"113",13,52,48
"114",14,47,53
"115",15,46,54
"116",16,52,48
"117",17,51,49
"118",18,52,48
"119",19,51,49
"120",20,52,48
"121",21,52,48
"122",22,53,47
"123",23,53,47
"124",24,54,46
"125",25,54,46
"126",26,55,45
"127",27,55,45
"128",28,56,44
"129",29,56,44
"130",30,57,43
"131",31,57,43
"132",32,58,42
"133",33,58,42
"134",34,58,42
"135",35,57,43
"136",36,58,42
"137",37,58,42
"138",38,58,42
"139",39,57,43
"140",40,57,43
"141",41,57,43
"142",42,58,42
"143",43,58,42
"144",44,59,41
"145",45,59,41
"146",46,60,40
"147",47,60,40
"148",48,61,39
"149",49,61,39
"150",50,62,38
"151",51,62,38
"152",52,63,37
"153",53,63,37
"154",54,64,36
"155",55,64,36
"156",56,65,35
"157",57,65,35
"158",58,66,34
"159",59,66,34
"160",60,66,34
"161",61,65,35
"162",62,65,35
"163",63,64,36
"164",64,72,28
"165",65,72,28
"166",66,66,34
"167",67,66,34
"168",68,67,33
"169",69,67,33
"170",70,68,32
"171",71,68,32
"172",72,76,24
"173",73,67,33
"174",74,68,32
"175",75,68,32
"176",76,69,31
"177",77,69,31
"178",78,70,30
"179",79,70,30
"180",80,80,20
"181",81,80,20
"182",82,71,29
"183",83,71,29
"184",84,72,28
"185",85,72,28
"186",86,73,27
"187",87,73,27
"188",88,42,58
"189",89,57,43
"190",90,58,42
"191",91,41,59
"192",92,42,58
"193",93,74,26
"194",94,42,58
"195",95,53,47
"196",96,54,46
"197",97,54,46
"198",98,60,40
"199",99,76,24
"1100",100,61,39
