"","Step","Cluster_1_Percentage","Cluster_2_Percentage"
"1",0,50,50
"11",1,50,50
"12",2,50.1,49.9
"13",3,50.1,49.9
"14",4,50.1,49.9
"15",5,50.1,49.9
"16",6,50.1,49.9
"17",7,50,50
"18",8,50,50
"19",9,50,50
"110",10,50,50
"111",11,50.3,49.7
"112",12,49.9,50.1
"113",13,49.9,50.1
"114",14,49.9,50.1
"115",15,49.8,50.2
"116",16,49.8,50.2
"117",17,49.7,50.3
"118",18,50.6,49.4
"119",19,50.6,49.4
"120",20,50.6,49.4
"121",21,50.6,49.4
"122",22,50.7,49.3
"123",23,50.6,49.4
"124",24,50.7,49.3
"125",25,50.6,49.4
"126",26,50.6,49.4
"127",27,49.7,50.3
"128",28,49.7,50.3
"129",29,49.6,50.4
"130",30,49.6,50.4
"131",31,49.5,50.5
"132",32,49.5,50.5
"133",33,49.4,50.6
"134",34,49.4,50.6
"135",35,49.4,50.6
"136",36,49.4,50.6
"137",37,49.3,50.7
"138",38,49.3,50.7
"139",39,49.2,50.8
"140",40,50.5,49.5
"141",41,50.5,49.5
"142",42,50.6,49.4
"143",43,50.6,49.4
"144",44,50.7,49.3
"145",45,50.7,49.3
"146",46,50.8,49.2
"147",47,50.7,49.3
"148",48,50.8,49.2
"149",49,50.8,49.2
"150",50,50.9,49.1
"151",51,50.9,49.1
"152",52,50.9,49.1
"153",53,50.9,49.1
"154",54,51,49
"155",55,51,49
"156",56,51.1,48.9
"157",57,51.1,48.9
"158",58,51.2,48.8
"159",59,51.2,48.8
"160",60,51.3,48.7
"161",61,51.2,48.8
"162",62,51.3,48.7
"163",63,51.3,48.7
"164",64,51.4,48.6
"165",65,51.4,48.6
"166",66,51.5,48.5
"167",67,51.5,48.5
"168",68,51.5,48.5
"169",69,51.4,48.6
"170",70,51.4,48.6
"171",71,51.4,48.6
"172",72,51.5,48.5
"173",73,51.5,48.5
"174",74,50.5,49.5
"175",75,50.4,49.6
"176",76,50.4,49.6
"177",77,50.3,49.7
"178",78,50.3,49.7
"179",79,50.2,49.8
"180",80,50.2,49.8
"181",81,50.2,49.8
"182",82,50.2,49.8
"183",83,50.1,49.9
