"","Step","Cluster_1_Percentage","Cluster_2_Percentage"
"1",0,50,50
"11",1,50,50
"12",2,50.25,49.75
"13",3,50.25,49.75
"14",4,50.25,49.75
"15",5,50.25,49.75
"16",6,50.25,49.75
"17",7,50,50
"18",8,50,50
"19",9,50,50
"110",10,50,50
"111",11,50.75,49.25
"112",12,49.75,50.25
"113",13,49.75,50.25
"114",14,49.75,50.25
"115",15,49.5,50.5
"116",16,49.5,50.5
"117",17,49.25,50.75
"118",18,51.5,48.5
"119",19,51.5,48.5
"120",20,51.5,48.5
"121",21,51.5,48.5
"122",22,51.75,48.25
"123",23,51.5,48.5
"124",24,51.75,48.25
"125",25,51.5,48.5
"126",26,51.5,48.5
"127",27,49.25,50.75
"128",28,49.25,50.75
"129",29,49,51
"130",30,49,51
"131",31,48.75,51.25
"132",32,48.75,51.25
"133",33,48.5,51.5
"134",34,48.5,51.5
"135",35,48.5,51.5
"136",36,48.5,51.5
"137",37,48.25,51.75
"138",38,48.25,51.75
"139",39,48,52
"140",40,51.25,48.75
"141",41,51.25,48.75
"142",42,51.5,48.5
"143",43,51.5,48.5
"144",44,51.75,48.25
"145",45,51.75,48.25
"146",46,52,48
"147",47,51.75,48.25
"148",48,52,48
"149",49,52,48
"150",50,52.25,47.75
"151",51,52.25,47.75
"152",52,52.25,47.75
"153",53,52.25,47.75
"154",54,52.5,47.5
"155",55,52.5,47.5
"156",56,52.75,47.25
"157",57,52.75,47.25
"158",58,53,47
"159",59,53,47
"160",60,53.25,46.75
"161",61,53,47
"162",62,53.25,46.75
"163",63,53.25,46.75
"164",64,53.5,46.5
"165",65,53.5,46.5
"166",66,53.75,46.25
"167",67,53.75,46.25
"168",68,53.75,46.25
"169",69,53.5,46.5
"170",70,53.5,46.5
"171",71,53.5,46.5
"172",72,53.75,46.25
"173",73,53.75,46.25
"174",74,51.25,48.75
"175",75,51,49
"176",76,51,49
"177",77,50.75,49.25
"178",78,50.75,49.25
"179",79,50.5,49.5
"180",80,50.5,49.5
"181",81,50.5,49.5
"182",82,50.5,49.5
"183",83,50.25,49.75
"184",84,50.5,49.5
"185",85,50.5,49.5
"186",86,50.5,49.5
