"","Step","DB_Index_Avg","DB_Index_Centroid","Norm_DB_Index_Avg","Norm_DB_Index_Centroid"
"1",1,0.000806,0.000802,0.999,0.999
"2",2,0.00357,0.00354,0.996,0.996
"3",3,0.00609,0.00604,0.994,0.994
"4",4,0.00776,0.0077,0.992,0.992
"5",5,0.0108,0.0107,0.989,0.989
"6",6,0.015,0.0149,0.985,0.985
"7",7,0.0184,0.0183,0.982,0.982
"8",8,0.0188,0.0186,0.982,0.982
"9",9,0.0205,0.0203,0.98,0.98
"10",10,0.026,0.0257,0.975,0.975
"11",11,0.0332,0.0327,0.968,0.968
"12",12,0.0365,0.036,0.965,0.965
"13",13,0.0369,0.0363,0.964,0.965
"14",14,0.041,0.0404,0.961,0.961
"15",15,0.046,0.0453,0.956,0.957
"16",16,0.0482,0.0474,0.954,0.955
"17",17,0.0512,0.0503,0.951,0.952
"18",18,0.0585,0.0569,0.945,0.946
"19",19,0.0641,0.0623,0.94,0.941
"20",20,0.0667,0.0648,0.937,0.939
"21",21,0.0675,0.0654,0.937,0.939
"22",22,0.0681,0.0659,0.936,0.938
"23",23,0.0705,0.0681,0.934,0.936
"24",24,0.0707,0.0681,0.934,0.936
"25",25,0.0722,0.0696,0.933,0.935
"26",26,0.0734,0.0707,0.932,0.934
"27",27,0.0676,0.0657,0.937,0.938
"28",28,0.071,0.069,0.934,0.935
"29",29,0.0719,0.0698,0.933,0.935
"30",30,0.0725,0.0701,0.932,0.934
"31",31,0.0755,0.0729,0.93,0.932
"32",32,0.0764,0.0736,0.929,0.931
"33",33,0.0778,0.0749,0.928,0.93
"34",34,0.0803,0.0772,0.926,0.928
"35",35,0.0809,0.0777,0.925,0.928
"36",36,0.0815,0.078,0.925,0.928
"37",37,0.0825,0.0789,0.924,0.927
"38",38,0.0837,0.0799,0.923,0.926
"39",39,0.0892,0.085,0.918,0.922
"40",40,0.105,0.0998,0.905,0.909
"41",41,0.11,0.104,0.901,0.906
"42",42,0.113,0.108,0.898,0.903
"43",43,0.117,0.111,0.895,0.9
"44",44,0.119,0.113,0.894,0.898
"45",45,0.119,0.113,0.894,0.898
"46",46,0.121,0.114,0.892,0.898
"47",47,0.121,0.115,0.892,0.897
"48",48,0.125,0.118,0.889,0.894
"49",49,0.125,0.118,0.889,0.894
"50",50,0.127,0.12,0.887,0.893
"51",51,0.128,0.12,0.887,0.893
"52",52,0.131,0.123,0.884,0.89
"53",53,0.135,0.126,0.881,0.888
"54",54,0.14,0.131,0.877,0.884
"55",55,0.142,0.133,0.876,0.883
"56",56,0.144,0.134,0.874,0.882
"57",57,0.145,0.135,0.873,0.881
"58",58,0.146,0.135,0.873,0.881
"59",59,0.151,0.14,0.869,0.877
"60",60,0.154,0.143,0.867,0.875
"61",61,0.156,0.145,0.865,0.873
"62",62,0.157,0.146,0.864,0.873
"63",63,0.16,0.148,0.862,0.871
"64",64,0.164,0.151,0.859,0.869
"65",65,0.164,0.151,0.859,0.869
"66",66,0.169,0.156,0.855,0.865
"67",67,0.173,0.159,0.853,0.863
"68",68,0.174,0.16,0.852,0.862
"69",69,0.174,0.161,0.852,0.861
"70",70,0.176,0.162,0.85,0.861
"71",71,0.181,0.167,0.847,0.857
"72",72,0.182,0.167,0.846,0.857
"73",73,0.185,0.17,0.844,0.855
"74",74,0.175,0.163,0.851,0.86
"75",75,0.179,0.166,0.848,0.858
"76",76,0.18,0.166,0.847,0.858
"77",77,0.181,0.167,0.847,0.857
"78",78,0.183,0.169,0.845,0.855
"79",79,0.185,0.171,0.844,0.854
"80",80,0.188,0.173,0.842,0.853
"81",81,0.192,0.177,0.839,0.85
"82",82,0.196,0.181,0.836,0.847
"83",83,0.197,0.182,0.835,0.846
"84",84,0.198,0.182,0.835,0.846
"85",85,0.199,0.183,0.834,0.845
"86",86,0.2,0.183,0.833,0.845
"87",87,0.2,0.183,0.833,0.845
"88",88,0.205,0.188,0.83,0.842
"89",89,0.209,0.191,0.827,0.84
"90",90,0.213,0.195,0.824,0.837
"91",91,0.215,0.196,0.823,0.836
"92",92,0.218,0.199,0.821,0.834
"93",93,0.218,0.198,0.821,0.835
"94",94,0.22,0.201,0.82,0.833
"95",95,0.222,0.202,0.818,0.832
"96",96,0.224,0.204,0.817,0.831
"97",97,0.224,0.204,0.817,0.831
"98",98,0.228,0.207,0.814,0.829
