"","Step","DB_Index_Avg","DB_Index_Centroid","Norm_DB_Index_Avg","Norm_DB_Index_Centroid"
"1",1,0.0185,0.0182,0.982,0.982
"2",2,0.0445,0.0431,0.957,0.959
"3",3,0.0603,0.0582,0.943,0.945
"4",4,0.0791,0.0761,0.927,0.929
"5",5,0.102,0.096,0.907,0.912
"6",6,0.115,0.105,0.897,0.905
"7",7,0.136,0.127,0.88,0.887
"8",8,0.145,0.135,0.873,0.881
"9",9,0.165,0.151,0.858,0.869
"10",10,0.185,0.166,0.844,0.858
"11",11,0.204,0.183,0.831,0.845
"12",12,0.227,0.2,0.815,0.833
"13",13,0.24,0.211,0.806,0.826
"14",14,0.25,0.219,0.8,0.82
"15",15,0.261,0.227,0.793,0.815
"16",16,0.273,0.237,0.786,0.808
"17",17,0.292,0.253,0.774,0.798
"18",18,0.313,0.269,0.762,0.788
"19",19,0.332,0.285,0.751,0.778
"20",20,0.347,0.298,0.742,0.77
"21",21,0.365,0.312,0.733,0.762
"22",22,0.378,0.321,0.726,0.757
"23",23,0.387,0.327,0.721,0.754
"24",24,0.393,0.331,0.718,0.751
"25",25,0.448,0.385,0.691,0.722
"26",26,0.459,0.394,0.685,0.717
"27",27,0.423,0.35,0.703,0.741
"28",28,0.43,0.356,0.699,0.737
"29",29,0.498,0.422,0.668,0.703
"30",30,0.451,0.371,0.689,0.729
"31",31,0.527,0.445,0.655,0.692
"32",32,0.482,0.396,0.675,0.716
"33",33,0.495,0.404,0.669,0.712
"34",34,0.505,0.411,0.664,0.709
"35",35,0.515,0.417,0.66,0.706
"36",36,0.522,0.423,0.657,0.703
"37",37,0.539,0.435,0.65,0.697
"38",38,0.541,0.435,0.649,0.697
"39",39,0.548,0.437,0.646,0.696
"40",40,0.554,0.443,0.644,0.693
"41",41,0.565,0.449,0.639,0.69
"42",42,0.566,0.449,0.639,0.69
"43",43,0.576,0.455,0.635,0.687
"44",44,0.61,0.484,0.621,0.674
"45",45,0.622,0.491,0.617,0.671
"46",46,0.631,0.498,0.613,0.668
"47",47,0.639,0.502,0.61,0.666
"48",48,0.646,0.507,0.608,0.664
"49",49,0.655,0.512,0.604,0.661
"50",50,0.657,0.513,0.604,0.661
"51",51,0.694,0.542,0.59,0.649
"52",52,0.705,0.55,0.587,0.645
"53",53,0.719,0.559,0.582,0.641
"54",54,0.728,0.566,0.579,0.639
"55",55,0.735,0.569,0.576,0.637
"56",56,0.787,0.612,0.56,0.62
"57",57,0.797,0.618,0.556,0.618
"58",58,0.809,0.627,0.553,0.615
"59",59,0.753,0.576,0.57,0.635
"60",60,0.837,0.645,0.544,0.608
"61",61,0.887,0.684,0.53,0.594
"62",62,0.905,0.697,0.525,0.589
"63",63,0.844,0.645,0.542,0.608
"64",64,0.864,0.659,0.536,0.603
"65",65,0.874,0.665,0.534,0.601
"66",66,0.88,0.67,0.532,0.599
"67",67,0.898,0.681,0.527,0.595
"68",68,0.949,0.719,0.513,0.582
"69",69,0.957,0.724,0.511,0.58
"70",70,1.042,0.789,0.49,0.559
"71",71,1.052,0.795,0.487,0.557
"72",72,1.067,0.805,0.484,0.554
"73",73,0.894,0.669,0.528,0.599
"74",74,0.904,0.677,0.525,0.596
"75",75,0.725,0.525,0.58,0.656
"76",76,0.73,0.527,0.578,0.655
"77",77,0.729,0.527,0.578,0.655
"78",78,0.733,0.529,0.577,0.654
"79",79,0.738,0.532,0.575,0.653
"80",80,0.737,0.531,0.576,0.653
"81",81,0.739,0.533,0.575,0.652
"82",82,0.744,0.536,0.573,0.651
"83",83,0.741,0.533,0.574,0.652
"84",84,0.741,0.531,0.574,0.653
"85",85,0.736,0.527,0.576,0.655
"86",86,0.742,0.53,0.574,0.654
"87",87,0.741,0.53,0.574,0.654
"88",88,0.743,0.531,0.574,0.653
"89",89,0.741,0.53,0.574,0.654
"90",90,0.742,0.53,0.574,0.654
"91",91,0.74,0.529,0.575,0.654
"92",92,0.742,0.531,0.574,0.653
"93",93,0.743,0.531,0.574,0.653
"94",94,0.744,0.531,0.573,0.653
"95",95,0.746,0.533,0.573,0.652
"96",96,0.745,0.533,0.573,0.652
"97",97,2.05,1.443,0.328,0.409
"98",98,1.556,1.062,0.391,0.485
"99",99,2.156,1.523,0.317,0.396
"100",100,2.451,1.741,0.29,0.365
