"","Step","DB_Index_Avg","DB_Index_Centroid","Norm_DB_Index_Avg","Norm_DB_Index_Centroid"
"1",1,0.0219,0.0215,0.979,0.979
"2",2,0.044,0.0409,0.958,0.961
"3",3,0.0613,0.0589,0.942,0.944
"4",4,0.0873,0.0799,0.92,0.926
"5",5,0.108,0.0981,0.903,0.911
"6",6,0.123,0.111,0.89,0.9
"7",7,0.145,0.13,0.873,0.885
"8",8,0.161,0.144,0.861,0.874
"9",9,0.18,0.16,0.847,0.862
"10",10,0.193,0.171,0.838,0.854
"11",11,0.214,0.189,0.824,0.841
"12",12,0.23,0.202,0.813,0.832
"13",13,0.251,0.221,0.799,0.819
"14",14,0.268,0.235,0.789,0.81
"15",15,0.287,0.249,0.777,0.801
"16",16,0.301,0.261,0.769,0.793
"17",17,0.318,0.274,0.759,0.785
"18",18,0.329,0.282,0.752,0.78
"19",19,0.34,0.291,0.746,0.775
"20",20,0.36,0.306,0.735,0.766
"21",21,0.369,0.313,0.73,0.762
"22",22,0.388,0.326,0.72,0.754
"23",23,0.397,0.333,0.716,0.75
"24",24,0.414,0.346,0.707,0.743
"25",25,0.427,0.354,0.701,0.739
"26",26,0.44,0.364,0.694,0.733
"27",27,0.454,0.373,0.688,0.728
"28",28,0.462,0.378,0.684,0.726
"29",29,0.471,0.385,0.68,0.722
"30",30,0.486,0.395,0.673,0.717
"31",31,0.495,0.401,0.669,0.714
"32",32,0.507,0.409,0.664,0.71
"33",33,0.521,0.418,0.657,0.705
"34",34,0.526,0.421,0.655,0.704
"35",35,0.537,0.427,0.651,0.701
"36",36,0.545,0.433,0.647,0.698
"37",37,0.551,0.437,0.645,0.696
"38",38,0.559,0.441,0.641,0.694
"39",39,0.561,0.441,0.641,0.694
"40",40,0.573,0.447,0.636,0.691
"41",41,0.575,0.448,0.635,0.691
"42",42,0.587,0.455,0.63,0.687
"43",43,0.591,0.457,0.629,0.686
"44",44,0.6,0.462,0.625,0.684
"45",45,0.605,0.465,0.623,0.683
"46",46,0.613,0.469,0.62,0.681
"47",47,0.619,0.473,0.618,0.679
"48",48,0.626,0.476,0.615,0.678
"49",49,0.626,0.475,0.615,0.678
"50",50,0.632,0.477,0.613,0.677
"51",51,0.636,0.479,0.611,0.676
"52",52,0.647,0.485,0.607,0.673
"53",53,0.649,0.486,0.606,0.673
"54",54,0.658,0.491,0.603,0.671
"55",55,0.663,0.494,0.601,0.669
"56",56,0.673,0.499,0.598,0.667
"57",57,0.675,0.5,0.597,0.667
"58",58,0.684,0.505,0.594,0.664
"59",59,0.689,0.508,0.592,0.663
"60",60,0.697,0.512,0.589,0.661
"61",61,0.7,0.514,0.588,0.661
"62",62,0.708,0.517,0.585,0.659
"63",63,0.709,0.518,0.585,0.659
"64",64,0.717,0.522,0.582,0.657
"65",65,0.716,0.521,0.583,0.657
"66",66,0.723,0.524,0.58,0.656
"67",67,0.723,0.524,0.58,0.656
"68",68,0.729,0.526,0.578,0.655
"69",69,0.728,0.525,0.579,0.656
"70",70,0.732,0.527,0.577,0.655
"71",71,0.735,0.528,0.576,0.654
"72",72,0.739,0.53,0.575,0.654
"73",73,0.739,0.529,0.575,0.654
"74",74,0.743,0.531,0.574,0.653
"75",75,0.743,0.531,0.574,0.653
"76",76,0.748,0.533,0.572,0.652
"77",77,0.75,0.534,0.571,0.652
"78",78,0.754,0.536,0.57,0.651
"79",79,0.754,0.536,0.57,0.651
"80",80,0.757,0.537,0.569,0.651
"81",81,0.758,0.537,0.569,0.651
"82",82,0.761,0.539,0.568,0.65
"83",83,0.762,0.54,0.568,0.649
"84",84,0.768,0.543,0.566,0.648
"85",85,0.767,0.542,0.566,0.649
"86",86,0.768,0.542,0.566,0.649
"87",87,0.767,0.542,0.566,0.649
"88",88,0.77,0.543,0.565,0.648
"89",89,0.77,0.544,0.565,0.648
"90",90,0.774,0.545,0.564,0.647
"91",91,0.775,0.547,0.563,0.646
"92",92,0.778,0.549,0.562,0.646
"93",93,0.779,0.549,0.562,0.646
"94",94,0.784,0.553,0.561,0.644
"95",95,0.784,0.553,0.561,0.644
"96",96,0.785,0.554,0.56,0.644
"97",97,0.787,0.555,0.56,0.643
"98",98,0.786,0.555,0.56,0.643
"99",99,0.808,0.571,0.553,0.637
"100",100,3.998,2.729,0.2,0.268
