"","Step","DB_Index_Avg","DB_Index_Centroid","Norm_DB_Index_Avg","Norm_DB_Index_Centroid"
"1",1,0.0216,0.0212,0.979,0.979
"2",2,0.0428,0.0406,0.959,0.961
"3",3,0.0671,0.0621,0.937,0.942
"4",4,0.0855,0.0773,0.921,0.928
"5",5,0.111,0.1,0.9,0.909
"6",6,0.124,0.112,0.89,0.899
"7",7,0.148,0.133,0.871,0.883
"8",8,0.166,0.148,0.858,0.871
"9",9,0.184,0.164,0.845,0.859
"10",10,0.2,0.177,0.833,0.85
"11",11,0.215,0.189,0.823,0.841
"12",12,0.228,0.2,0.814,0.833
"13",13,0.251,0.219,0.799,0.82
"14",14,0.263,0.229,0.792,0.814
"15",15,0.28,0.243,0.781,0.805
"16",16,0.289,0.25,0.776,0.8
"17",17,0.304,0.261,0.767,0.793
"18",18,0.317,0.271,0.759,0.787
"19",19,0.332,0.283,0.751,0.779
"20",20,0.34,0.288,0.746,0.776
"21",21,0.361,0.304,0.735,0.767
"22",22,0.369,0.311,0.73,0.763
"23",23,0.383,0.321,0.723,0.757
"24",24,0.395,0.33,0.717,0.752
"25",25,0.413,0.344,0.708,0.744
"26",26,0.424,0.352,0.702,0.74
"27",27,0.442,0.365,0.693,0.733
"28",28,0.453,0.372,0.688,0.729
"29",29,0.464,0.379,0.683,0.725
"30",30,0.474,0.386,0.678,0.722
"31",31,0.489,0.397,0.672,0.716
"32",32,0.497,0.402,0.668,0.713
"33",33,0.508,0.409,0.663,0.71
"34",34,0.514,0.413,0.661,0.708
"35",35,0.527,0.421,0.655,0.704
"36",36,0.531,0.423,0.653,0.703
"37",37,0.534,0.424,0.652,0.702
"38",38,0.548,0.433,0.646,0.698
"39",39,0.554,0.437,0.644,0.696
"40",40,0.57,0.447,0.637,0.691
"41",41,0.574,0.449,0.635,0.69
"42",42,0.584,0.455,0.631,0.687
"43",43,0.59,0.458,0.629,0.686
"44",44,0.603,0.466,0.624,0.682
"45",45,0.606,0.468,0.623,0.681
"46",46,0.616,0.473,0.619,0.679
"47",47,0.63,0.481,0.613,0.675
"48",48,0.633,0.482,0.612,0.675
"49",49,0.64,0.484,0.61,0.674
"50",50,0.643,0.486,0.609,0.673
"51",51,0.658,0.495,0.603,0.669
"52",52,0.661,0.497,0.602,0.668
"53",53,0.663,0.498,0.601,0.668
"54",54,0.671,0.502,0.598,0.666
"55",55,0.674,0.504,0.597,0.665
"56",56,0.682,0.507,0.595,0.664
"57",57,0.684,0.508,0.594,0.663
"58",58,0.693,0.513,0.591,0.661
"59",59,0.698,0.516,0.589,0.66
"60",60,0.705,0.519,0.587,0.658
"61",61,0.708,0.521,0.585,0.657
"62",62,0.716,0.525,0.583,0.656
"63",63,0.718,0.526,0.582,0.655
"64",64,0.724,0.528,0.58,0.654
"65",65,0.733,0.533,0.577,0.652
"66",66,0.733,0.532,0.577,0.653
"67",67,0.73,0.529,0.578,0.654
"68",68,0.736,0.532,0.576,0.653
"69",69,0.74,0.533,0.575,0.652
"70",70,0.739,0.532,0.575,0.653
"71",71,0.747,0.536,0.572,0.651
"72",72,0.747,0.537,0.572,0.651
"73",73,0.745,0.535,0.573,0.651
"74",74,0.754,0.54,0.57,0.649
"75",75,0.754,0.539,0.57,0.65
"76",76,0.755,0.539,0.57,0.65
"77",77,0.753,0.537,0.57,0.651
"78",78,0.754,0.537,0.57,0.651
"79",79,0.754,0.537,0.57,0.651
"80",80,0.759,0.54,0.569,0.649
"81",81,0.759,0.539,0.569,0.65
"82",82,0.761,0.54,0.568,0.649
"83",83,0.761,0.54,0.568,0.649
"84",84,0.764,0.542,0.567,0.649
"85",85,0.764,0.542,0.567,0.649
"86",86,0.767,0.543,0.566,0.648
"87",87,0.767,0.543,0.566,0.648
"88",88,0.768,0.543,0.566,0.648
"89",89,0.768,0.543,0.566,0.648
"90",90,0.771,0.546,0.565,0.647
"91",91,0.771,0.545,0.565,0.647
"92",92,0.77,0.544,0.565,0.648
"93",93,0.772,0.546,0.564,0.647
"94",94,0.775,0.548,0.563,0.646
"95",95,0.772,0.546,0.564,0.647
"96",96,0.772,0.546,0.564,0.647
"97",97,0.77,0.545,0.565,0.647
"98",98,0.769,0.544,0.565,0.648
"99",99,0.815,0.578,0.551,0.634
"100",100,3.962,2.767,0.202,0.265
