"","Step","DB_Index_Avg","DB_Index_Centroid","Norm_DB_Index_Avg","Norm_DB_Index_Centroid"
"1",1,0.0236,0.0231,0.977,0.977
"2",2,0.0449,0.0426,0.957,0.959
"3",3,0.0662,0.0615,0.938,0.942
"4",4,0.0841,0.0778,0.922,0.928
"5",5,0.107,0.0983,0.903,0.91
"6",6,0.128,0.117,0.887,0.895
"7",7,0.149,0.135,0.87,0.881
"8",8,0.167,0.151,0.857,0.869
"9",9,0.184,0.165,0.845,0.858
"10",10,0.204,0.181,0.831,0.847
"11",11,0.221,0.195,0.819,0.837
"12",12,0.24,0.212,0.806,0.825
"13",13,0.26,0.227,0.794,0.815
"14",14,0.272,0.238,0.786,0.808
"15",15,0.286,0.249,0.778,0.801
"16",16,0.301,0.26,0.769,0.794
"17",17,0.312,0.269,0.762,0.788
"18",18,0.329,0.282,0.752,0.78
"19",19,0.34,0.29,0.746,0.775
"20",20,0.353,0.299,0.739,0.77
"21",21,0.364,0.308,0.733,0.765
"22",22,0.381,0.32,0.724,0.758
"23",23,0.392,0.328,0.718,0.753
"24",24,0.41,0.342,0.709,0.745
"25",25,0.42,0.349,0.704,0.741
"26",26,0.435,0.359,0.697,0.736
"27",27,0.443,0.364,0.693,0.733
"28",28,0.455,0.372,0.687,0.729
"29",29,0.462,0.377,0.684,0.726
"30",30,0.475,0.385,0.678,0.722
"31",31,0.483,0.391,0.674,0.719
"32",32,0.495,0.399,0.669,0.715
"33",33,0.502,0.403,0.666,0.713
"34",34,0.516,0.413,0.66,0.708
"35",35,0.521,0.415,0.657,0.707
"36",36,0.534,0.423,0.652,0.703
"37",37,0.541,0.428,0.649,0.7
"38",38,0.556,0.438,0.643,0.695
"39",39,0.561,0.441,0.641,0.694
"40",40,0.571,0.446,0.637,0.692
"41",41,0.577,0.45,0.634,0.69
"42",42,0.588,0.456,0.63,0.687
"43",43,0.593,0.459,0.628,0.685
"44",44,0.604,0.465,0.623,0.683
"45",45,0.609,0.468,0.622,0.681
"46",46,0.621,0.475,0.617,0.678
"47",47,0.624,0.477,0.616,0.677
"48",48,0.635,0.483,0.612,0.674
"49",49,0.639,0.485,0.61,0.673
"50",50,0.649,0.49,0.606,0.671
"51",51,0.654,0.493,0.605,0.67
"52",52,0.664,0.498,0.601,0.668
"53",53,0.666,0.499,0.6,0.667
"54",54,0.672,0.501,0.598,0.666
"55",55,0.675,0.503,0.597,0.665
"56",56,0.686,0.509,0.593,0.663
"57",57,0.687,0.509,0.593,0.663
"58",58,0.696,0.513,0.59,0.661
"59",59,0.697,0.514,0.589,0.661
"60",60,0.707,0.519,0.586,0.658
"61",61,0.71,0.52,0.585,0.658
"62",62,0.718,0.524,0.582,0.656
"63",63,0.72,0.525,0.581,0.656
"64",64,0.727,0.528,0.579,0.654
"65",65,0.728,0.529,0.579,0.654
"66",66,0.735,0.531,0.576,0.653
"67",67,0.735,0.532,0.576,0.653
"68",68,0.74,0.533,0.575,0.652
"69",69,0.744,0.536,0.573,0.651
"70",70,0.75,0.539,0.571,0.65
"71",71,0.752,0.54,0.571,0.649
"72",72,0.757,0.541,0.569,0.649
"73",73,0.757,0.541,0.569,0.649
"74",74,0.762,0.544,0.568,0.648
"75",75,0.764,0.544,0.567,0.648
"76",76,0.767,0.546,0.566,0.647
"77",77,0.769,0.546,0.565,0.647
"78",78,0.772,0.547,0.564,0.646
"79",79,0.772,0.548,0.564,0.646
"80",80,0.777,0.55,0.563,0.645
"81",81,0.777,0.55,0.563,0.645
"82",82,0.781,0.552,0.561,0.644
"83",83,0.782,0.552,0.561,0.644
"84",84,0.783,0.553,0.561,0.644
"85",85,0.785,0.554,0.56,0.644
"86",86,0.79,0.557,0.559,0.642
"87",87,0.792,0.558,0.558,0.642
"88",88,0.793,0.558,0.558,0.642
"89",89,0.794,0.559,0.557,0.641
"90",90,0.797,0.561,0.556,0.641
"91",91,0.798,0.561,0.556,0.641
"92",92,0.799,0.562,0.556,0.64
"93",93,0.799,0.562,0.556,0.64
"94",94,0.8,0.563,0.556,0.64
"95",95,0.801,0.563,0.555,0.64
"96",96,0.802,0.564,0.555,0.639
"97",97,0.801,0.564,0.555,0.639
"98",98,0.803,0.565,0.555,0.639
"99",99,0.81,0.571,0.552,0.637
"100",100,1.16,0.818,0.463,0.55
