"","Step","DB_Index_Avg","DB_Index_Centroid","Norm_DB_Index_Avg","Norm_DB_Index_Centroid"
"1",1,0.00323,0.00316,0.997,0.997
"2",2,0.014,0.0136,0.986,0.987
"3",3,0.0237,0.023,0.977,0.978
"4",4,0.0306,0.0297,0.97,0.971
"5",5,0.042,0.0407,0.96,0.961
"6",6,0.0599,0.0579,0.943,0.945
"7",7,0.0737,0.0712,0.931,0.934
"8",8,0.0752,0.072,0.93,0.933
"9",9,0.0817,0.0781,0.924,0.928
"10",10,0.104,0.0987,0.906,0.91
"11",11,0.124,0.116,0.89,0.896
"12",12,0.145,0.137,0.873,0.88
"13",13,0.146,0.138,0.873,0.879
"14",14,0.162,0.152,0.861,0.868
"15",15,0.18,0.169,0.847,0.855
"16",16,0.187,0.175,0.842,0.851
"17",17,0.196,0.183,0.836,0.845
"18",18,0.21,0.19,0.826,0.84
"19",19,0.215,0.2,0.823,0.833
"20",20,0.222,0.205,0.818,0.83
"21",21,0.226,0.208,0.816,0.828
"22",22,0.232,0.213,0.812,0.824
"23",23,0.235,0.215,0.81,0.823
"24",24,0.239,0.217,0.807,0.822
"25",25,0.24,0.216,0.806,0.822
"26",26,0.243,0.216,0.805,0.822
"27",27,0.254,0.225,0.797,0.816
"28",28,0.265,0.234,0.791,0.81
"29",29,0.266,0.233,0.79,0.811
"30",30,0.267,0.232,0.789,0.812
"31",31,0.275,0.239,0.784,0.807
"32",32,0.277,0.238,0.783,0.808
"33",33,0.279,0.238,0.782,0.808
"34",34,0.286,0.243,0.778,0.805
"35",35,0.288,0.243,0.776,0.805
"36",36,0.289,0.243,0.776,0.805
"37",37,0.29,0.242,0.775,0.805
"38",38,0.292,0.242,0.774,0.805
"39",39,0.31,0.256,0.763,0.796
"40",40,0.38,0.324,0.725,0.755
"41",41,0.396,0.337,0.716,0.748
"42",42,0.405,0.344,0.712,0.744
"43",43,0.414,0.35,0.707,0.741
"44",44,0.416,0.35,0.706,0.741
"45",45,0.417,0.349,0.706,0.741
"46",46,0.417,0.347,0.706,0.742
"47",47,0.421,0.347,0.704,0.742
"48",48,0.427,0.352,0.701,0.74
"49",49,0.428,0.352,0.7,0.74
"50",50,0.431,0.353,0.699,0.739
"51",51,0.432,0.352,0.698,0.74
"52",52,0.443,0.36,0.693,0.735
"53",53,0.451,0.367,0.689,0.732
"54",54,0.466,0.379,0.682,0.725
"55",55,0.469,0.379,0.681,0.725
"56",56,0.47,0.377,0.68,0.726
"57",57,0.472,0.375,0.679,0.727
"58",58,0.471,0.373,0.68,0.728
"59",59,0.485,0.383,0.673,0.723
"60",60,0.49,0.387,0.671,0.721
"61",61,0.499,0.394,0.667,0.717
"62",62,0.499,0.391,0.667,0.719
"63",63,0.501,0.391,0.666,0.719
"64",64,0.511,0.398,0.662,0.715
"65",65,0.51,0.397,0.662,0.716
"66",66,0.523,0.407,0.657,0.711
"67",67,0.555,0.431,0.643,0.699
"68",68,0.554,0.431,0.644,0.699
"69",69,0.553,0.43,0.644,0.699
"70",70,0.553,0.429,0.644,0.7
"71",71,0.557,0.431,0.642,0.699
"72",72,0.559,0.432,0.641,0.698
"73",73,0.573,0.443,0.636,0.693
"74",74,0.556,0.426,0.643,0.701
"75",75,0.57,0.436,0.637,0.696
"76",76,0.571,0.434,0.637,0.697
"77",77,0.572,0.433,0.636,0.698
"78",78,0.58,0.439,0.633,0.695
"79",79,0.591,0.446,0.629,0.692
"80",80,0.606,0.459,0.623,0.685
"81",81,0.61,0.461,0.621,0.684
"82",82,0.623,0.469,0.616,0.681
"83",83,0.625,0.47,0.615,0.68
"84",84,0.624,0.468,0.616,0.681
"85",85,0.599,0.45,0.625,0.69
"86",86,0.598,0.45,0.626,0.69
"87",87,0.596,0.448,0.627,0.691
"88",88,0.601,0.452,0.625,0.689
"89",89,0.611,0.46,0.621,0.685
"90",90,0.621,0.467,0.617,0.682
"91",91,0.625,0.472,0.615,0.679
"92",92,0.64,0.482,0.61,0.675
"93",93,0.638,0.481,0.611,0.675
"94",94,0.635,0.477,0.612,0.677
"95",95,0.639,0.482,0.61,0.675
"96",96,0.644,0.486,0.608,0.673
"97",97,0.643,0.486,0.609,0.673
"98",98,0.643,0.486,0.609,0.673
"99",99,0.638,0.483,0.611,0.674
"100",100,0.637,0.481,0.611,0.675
