"","Step","DB_Index_Avg","DB_Index_Centroid","Norm_DB_Index_Avg","Norm_DB_Index_Centroid"
"1",1,0.000322,0.000322,1,1
"2",2,0.00143,0.00143,0.999,0.999
"3",3,0.00245,0.00244,0.998,0.998
"4",4,0.00311,0.0031,0.997,0.997
"5",5,0.00432,0.00431,0.996,0.996
"6",6,0.00602,0.006,0.994,0.994
"7",7,0.00738,0.00735,0.993,0.993
"8",8,0.00753,0.0075,0.993,0.993
"9",9,0.00823,0.00819,0.992,0.992
"10",10,0.0104,0.0103,0.99,0.99
"11",11,0.0135,0.0134,0.987,0.987
"12",12,0.0146,0.0145,0.986,0.986
"13",13,0.0148,0.0147,0.985,0.986
"14",14,0.0164,0.0163,0.984,0.984
"15",15,0.0185,0.0184,0.982,0.982
"16",16,0.0194,0.0193,0.981,0.981
"17",17,0.0207,0.0205,0.98,0.98
"18",18,0.0239,0.0237,0.977,0.977
"19",19,0.0263,0.026,0.974,0.975
"20",20,0.0272,0.0269,0.974,0.974
"21",21,0.0276,0.0273,0.973,0.973
"22",22,0.0279,0.0276,0.973,0.973
"23",23,0.0288,0.0284,0.972,0.972
"24",24,0.0289,0.0285,0.972,0.972
"25",25,0.0295,0.0291,0.971,0.972
"26",26,0.0299,0.0295,0.971,0.971
"27",27,0.0274,0.0271,0.973,0.974
"28",28,0.0288,0.0285,0.972,0.972
"29",29,0.0292,0.0289,0.972,0.972
"30",30,0.0295,0.0291,0.971,0.972
"31",31,0.0308,0.0304,0.97,0.97
"32",32,0.0312,0.0307,0.97,0.97
"33",33,0.0318,0.0313,0.969,0.97
"34",34,0.0329,0.0324,0.968,0.969
"35",35,0.0331,0.0326,0.968,0.968
"36",36,0.0334,0.0328,0.968,0.968
"37",37,0.0339,0.0333,0.967,0.968
"38",38,0.0344,0.0338,0.967,0.967
"39",39,0.0368,0.0361,0.965,0.965
"40",40,0.0426,0.0419,0.959,0.96
"41",41,0.0447,0.0438,0.957,0.958
"42",42,0.0463,0.0454,0.956,0.957
"43",43,0.0478,0.0468,0.954,0.955
"44",44,0.0487,0.0477,0.954,0.954
"45",45,0.049,0.048,0.953,0.954
"46",46,0.0497,0.0486,0.953,0.954
"47",47,0.0499,0.0488,0.952,0.953
"48",48,0.0514,0.0502,0.951,0.952
"49",49,0.0517,0.0504,0.951,0.952
"50",50,0.0527,0.0515,0.95,0.951
"51",51,0.0532,0.0519,0.949,0.951
"52",52,0.0541,0.0528,0.949,0.95
"53",53,0.0558,0.0544,0.947,0.948
"54",54,0.0581,0.0566,0.945,0.946
"55",55,0.0591,0.0575,0.944,0.946
"56",56,0.0599,0.0583,0.943,0.945
"57",57,0.0606,0.0589,0.943,0.944
"58",58,0.061,0.0592,0.943,0.944
"59",59,0.0632,0.0614,0.941,0.942
"60",60,0.0647,0.0628,0.939,0.941
"61",61,0.0655,0.0636,0.939,0.94
"62",62,0.0661,0.0641,0.938,0.94
"63",63,0.0672,0.0651,0.937,0.939
"64",64,0.0691,0.0669,0.935,0.937
"65",65,0.0692,0.067,0.935,0.937
"66",66,0.0714,0.0691,0.933,0.935
"67",67,0.0732,0.0708,0.932,0.934
"68",68,0.0736,0.0712,0.931,0.934
"69",69,0.0737,0.0713,0.931,0.933
"70",70,0.0742,0.0717,0.931,0.933
"71",71,0.0766,0.074,0.929,0.931
"72",72,0.077,0.0743,0.929,0.931
"73",73,0.0785,0.0757,0.927,0.93
"74",74,0.0718,0.0698,0.933,0.935
"75",75,0.0733,0.0712,0.932,0.934
"76",76,0.0736,0.0715,0.931,0.933
"77",77,0.074,0.0719,0.931,0.933
"78",78,0.0748,0.0726,0.93,0.932
"79",79,0.0758,0.0735,0.93,0.932
"80",80,0.077,0.0747,0.929,0.93
"81",81,0.0788,0.0765,0.927,0.929
"82",82,0.0802,0.0778,0.926,0.928
"83",83,0.0808,0.0784,0.925,0.927
"84",84,0.0811,0.0786,0.925,0.927
"85",85,0.0819,0.0794,0.924,0.926
"86",86,0.082,0.0794,0.924,0.926
"87",87,0.0823,0.0796,0.924,0.926
"88",88,0.0844,0.0816,0.922,0.925
"89",89,0.086,0.0831,0.921,0.923
"90",90,0.0876,0.0847,0.919,0.922
"91",91,0.0885,0.0855,0.919,0.921
"92",92,0.0898,0.0867,0.918,0.92
"93",93,0.0899,0.0867,0.918,0.92
"94",94,0.0909,0.0877,0.917,0.919
"95",95,0.0918,0.0885,0.916,0.919
"96",96,0.0927,0.0894,0.915,0.918
"97",97,0.0928,0.0894,0.915,0.918
"98",98,0.0939,0.0905,0.914,0.917
"99",99,0.108,0.103,0.903,0.907
"100",100,0.108,0.103,0.903,0.907
"101",101,0.109,0.104,0.902,0.906
"102",102,0.111,0.106,0.9,0.904
"103",103,0.112,0.107,0.899,0.903
"104",104,0.113,0.107,0.898,0.903
"105",105,0.109,0.104,0.902,0.906
"106",106,0.109,0.105,0.902,0.905
"107",107,0.111,0.107,0.9,0.903
"108",108,0.112,0.108,0.899,0.903
"109",109,0.113,0.108,0.898,0.903
"110",110,0.114,0.109,0.898,0.902
"111",111,0.116,0.111,0.896,0.9
"112",112,0.118,0.113,0.894,0.898
"113",113,0.118,0.113,0.894,0.898
"114",114,0.119,0.114,0.894,0.898
"115",115,0.11,0.106,0.901,0.904
"116",116,0.112,0.107,0.899,0.903
"117",117,0.114,0.109,0.898,0.902
"118",118,0.129,0.122,0.886,0.891
"119",119,0.131,0.124,0.884,0.89
"120",120,0.132,0.125,0.883,0.889
"121",121,0.133,0.126,0.883,0.888
"122",122,0.134,0.126,0.882,0.888
"123",123,0.135,0.127,0.881,0.887
"124",124,0.136,0.128,0.88,0.887
"125",125,0.137,0.129,0.88,0.886
"126",126,0.138,0.13,0.879,0.885
"127",127,0.138,0.131,0.879,0.884
"128",128,0.139,0.131,0.878,0.884
"129",129,0.141,0.133,0.876,0.883
"130",130,0.141,0.133,0.876,0.883
"131",131,0.143,0.135,0.875,0.881
"132",132,0.144,0.136,0.874,0.88
"133",133,0.145,0.136,0.873,0.88
"134",134,0.145,0.137,0.873,0.88
"135",135,0.146,0.137,0.873,0.88
"136",136,0.133,0.127,0.883,0.887
"137",137,0.149,0.14,0.87,0.877
"138",138,0.151,0.142,0.869,0.876
"139",139,0.151,0.142,0.869,0.876
"140",140,0.152,0.143,0.868,0.875
"141",141,0.154,0.144,0.867,0.874
"142",142,0.155,0.145,0.866,0.873
"143",143,0.157,0.147,0.864,0.872
"144",144,0.159,0.149,0.863,0.87
"145",145,0.161,0.151,0.861,0.869
"146",146,0.161,0.151,0.861,0.869
"147",147,0.162,0.152,0.861,0.868
"148",148,0.163,0.152,0.86,0.868
"149",149,0.163,0.152,0.86,0.868
"150",150,0.163,0.153,0.86,0.867
"151",151,0.151,0.143,0.869,0.875
"152",152,0.153,0.145,0.867,0.873
"153",153,0.154,0.145,0.867,0.873
"154",154,0.155,0.146,0.866,0.873
"155",155,0.155,0.146,0.866,0.873
"156",156,0.156,0.148,0.865,0.871
"157",157,0.158,0.149,0.864,0.87
"158",158,0.159,0.15,0.863,0.87
"159",159,0.161,0.152,0.861,0.868
"160",160,0.162,0.153,0.861,0.867
"161",161,0.162,0.153,0.861,0.867
"162",162,0.164,0.155,0.859,0.866
"163",163,0.165,0.156,0.858,0.865
"164",164,0.166,0.157,0.858,0.864
"165",165,0.179,0.168,0.848,0.856
"166",166,0.18,0.169,0.847,0.855
"167",167,0.18,0.169,0.847,0.855
"168",168,0.182,0.171,0.846,0.854
"169",169,0.183,0.171,0.845,0.854
"170",170,0.184,0.173,0.845,0.853
"171",171,0.186,0.174,0.843,0.852
"172",172,0.187,0.176,0.842,0.85
"173",173,0.187,0.175,0.842,0.851
"174",174,0.189,0.177,0.841,0.85
"175",175,0.189,0.177,0.841,0.85
"176",176,0.191,0.178,0.84,0.849
"177",177,0.191,0.178,0.84,0.849
"178",178,0.191,0.179,0.84,0.848
"179",179,0.193,0.18,0.838,0.847
"180",180,0.182,0.17,0.846,0.855
"181",181,0.184,0.172,0.845,0.853
"182",182,0.184,0.172,0.845,0.853
"183",183,0.185,0.173,0.844,0.853
"184",184,0.186,0.173,0.843,0.853
"185",185,0.186,0.174,0.843,0.852
"186",186,0.2,0.184,0.833,0.845
"187",187,0.201,0.185,0.833,0.844
"188",188,0.203,0.187,0.831,0.842
"189",189,0.193,0.18,0.838,0.847
"190",190,0.205,0.189,0.83,0.841
"191",191,0.206,0.189,0.829,0.841
"192",192,0.207,0.19,0.829,0.84
"193",193,0.207,0.191,0.829,0.84
"194",194,0.212,0.197,0.825,0.835
"195",195,0.214,0.199,0.824,0.834
"196",196,0.215,0.199,0.823,0.834
"197",197,0.216,0.201,0.822,0.833
"198",198,0.201,0.188,0.833,0.842
"199",199,0.202,0.188,0.832,0.842
"200",200,0.202,0.188,0.832,0.842
"201",201,0.203,0.188,0.831,0.842
"202",202,0.203,0.189,0.831,0.841
"203",203,0.204,0.19,0.831,0.84
"204",204,0.206,0.191,0.829,0.84
"205",205,0.207,0.193,0.829,0.838
"206",206,0.208,0.193,0.828,0.838
"207",207,0.224,0.206,0.817,0.829
"208",208,0.226,0.208,0.816,0.828
"209",209,0.227,0.209,0.815,0.827
"210",210,0.227,0.209,0.815,0.827
"211",211,0.227,0.21,0.815,0.826
"212",212,0.228,0.211,0.814,0.826
"213",213,0.229,0.211,0.814,0.826
"214",214,0.23,0.212,0.813,0.825
"215",215,0.233,0.214,0.811,0.824
"216",216,0.234,0.215,0.81,0.823
"217",217,0.234,0.216,0.81,0.822
"218",218,0.235,0.217,0.81,0.822
"219",219,0.237,0.218,0.808,0.821
"220",220,0.239,0.22,0.807,0.82
"221",221,0.239,0.22,0.807,0.82
"222",222,0.24,0.22,0.806,0.82
"223",223,0.241,0.221,0.806,0.819
"224",224,0.242,0.222,0.805,0.818
"225",225,0.243,0.223,0.805,0.818
"226",226,0.245,0.225,0.803,0.816
"227",227,0.245,0.225,0.803,0.816
"228",228,0.246,0.225,0.803,0.816
